iter	Passed	Remaining
418	2618	3630
419	2624	3623
420	2630	3617
421	2636	3611
422	2643	3605
423	2649	3599
424	2655	3593
425	2661	3586
426	2667	3580
427	2673	3573
428	2679	3567
429	2688	3563
430	2694	3557
431	2700	3550
432	2706	3544
433	2712	3537
434	2718	3531
435	2724	3524
436	2731	3518
437	2737	3511
438	2742	3504
439	2749	3499
440	2755	3492
441	2761	3486
442	2768	3480
443	2774	3473
444	2779	3467
445	2785	3460
446	2791	3453
447	2797	3447
448	2802	3439
449	2809	3433
450	2814	3425
451	2819	3418
452	2825	3412
453	2831	3405
454	2837	3398
455	2843	3392
456	2850	3386
457	2856	3380
458	2862	3373
459	2868	3367
460	2874	3360
461	2879	3353
462	2885	3346
463	2891	3339
464	2896	3332
465	2902	3326
466	2908	3319
467	2914	3313
468	2920	3306
469	2926	3300
470	2932	3293
471	2938	3287
472	2945	3281
473	2951	3275
474	2957	3268
475	2962	3261
476	2968	3255
477	2975	3248
478	2981	3242
479	2990	3239
480	2996	3233
481	3002	3227
482	3008	3220
483	3014	3213
484	3020	3207
485	3025	3200
486	3031	3193
487	3038	3188
488	3044	3181
489	3050	3174
490	3056	3168
491	3062	3162
492	3068	3155
493	3075	3149
494	3081	3143
495	3087	3137
496	3093	3130
497	3099	3124
498	3105	3117
499	3111	3111
500	3117	3105
501	3123	3098
502	3130	3092
503	3136	3086
504	3142	3080
505	3148	3074
506	3154	3067
507	3160	3061
508	3167	3055
509	3173	3048
510	3178	3042
511	3184	3035
512	3190	3028
513	3196	3022
514	3202	3015
515	3207	3009
516	3212	3001
517	3219	2995
518	3224	2988
519	3231	2982
520	3237	2976
521	3243	2969
522	3248	2963
523	3254	2956
524	3260	2950
525	3266	2943
526	3272	2937
527	3279	2931
528	3285	2924
529	3290	2918
530	3296	2911
531	3302	2905
532	3308	2899
533	3314	2892
534	3320	2886
535	3326	2879
536	3332	2873
537	3338	2866
538	3344	2860
539	3350	2853
540	3356	2847
541	3361	2840
542	3368	2834
543	3374	2828
544	3379	2821
545	3386	2815
546	3392	2809
547	3398	2802
548	3403	2796
549	3409	2789
550	3415	2782
551	3421	2776
552	3425	2768
553	3431	2762
554	3437	2756
555	3443	2749
556	3449	2743
557	3455	2736
558	3461	2730
559	3467	2724
560	3474	2719
561	3480	2712
562	3486	2706
563	3492	2699
564	3498	2693
565	3504	2686
566	3510	2680
567	3516	2674
568	3522	2668
569	3528	2661
570	3534	2655
571	3541	2649
572	3546	2642
573	3552	2636
574	3557	2629
575	3565	2624
576	3572	2619
577	3578	2612
578	3586	2608
579	3595	2603
580	3603	2598
581	3613	2595
582	3621	2590
583	3628	2584
584	3634	2578
585	3641	2572
586	3647	2566
587	3654	2560
588	3660	2554
589	3666	2548
590	3673	2541
591	3678	2535
